t,t_新能源(MW),t_负荷(MW),t_火力调度(MW),t+1_负荷预测(MW),t+1_新能源预测(MW),t+1_调度结果(MW)
372,17767.53,4838.13,4691.25,5204.84,17910.36,4916.8
373,17910.36,5204.84,4916.8,5666.88,17908.63,5387.25
374,17908.63,5666.88,5387.25,5900.24,17762.69,5771.84
375,17762.69,5900.24,5771.84,5938.46,17721.09,5853.25
376,17721.09,5938.46,5853.25,5895.04,17669.61,5861.11
377,17669.61,5895.04,5861.11,5876.13,17714.08,5797.52
378,17714.08,5876.13,5797.52,5865.3,17662.96,5838.3
379,17662.96,5865.3,5838.3,5826.65,17702.97,5757.51
380,17702.97,5826.65,5757.51,5861.89,17635.25,5862.24
381,17635.25,5861.89,5862.24,5943.57,17746.19,5833.25
382,17746.19,5943.57,5833.25,6012.76,17713.06,5936.42
383,17713.06,6012.76,5936.42,6308.41,17677.42,6272.66
384,17677.42,6308.41,6272.66,6371.42,17690.3,6323.88
385,17690.3,6371.42,6323.88,6230.15,17716.89,6154.69
386,17716.89,6230.15,6154.69,6039.61,17744.24,5932.31
387,17744.24,6039.61,5932.31,5860.28,17715.54,5778.78
388,17715.54,5860.28,5778.78,5552.72,17680.76,5501.98
389,17680.76,5552.72,5501.98,5162.93,17677.35,5109.79
390,17677.35,5162.93,5109.79,4851.54,17670.22,4802.46
391,17670.22,4851.54,4802.46,4637.62,17749.39,4506.85
392,17749.39,4637.62,4506.85,4500.03,17749.74,4367.48
393,17749.74,4500.03,4367.48,4401.93,17784.97,4233.34
394,17784.97,4401.93,4233.34,4367.55,17756.24,4227.25
395,17756.24,4367.55,4227.25,4465.19,17805.5,4276.45
396,17805.5,4465.19,4276.45,4756.41,17819.38,4555.75
397,17819.38,4756.41,4555.75,5225.26,17787.0,5062.86
398,17787.0,5225.26,5062.86,5480.19,17722.75,5385.88
399,17722.75,5480.19,5385.88,5529.15,17680.8,5477.54
400,17680.8,5529.15,5477.54,5477.68,17721.08,5384.86
401,17721.08,5477.68,5384.86,5379.71,17685.48,5321.98
402,17685.48,5379.71,5321.98,5297.7,17691.59,5232.75
403,17691.59,5297.7,5232.75,5163.36,17719.14,5068.76
404,17719.14,5163.36,5068.76,5208.19,17691.13,5142.73
405,17691.13,5208.19,5142.73,5263.81,17783.78,5104.33
406,17783.78,5263.81,5104.33,5470.79,17683.3,5416.16
407,17683.3,5470.79,5416.16,5676.37,17699.46,5608.27
408,17699.46,5676.37,5608.27,6020.2,17684.5,5973.62
409,17684.5,6020.2,5973.62,5989.12,17736.62,5887.94
410,17736.62,5989.12,5887.94,5913.85,17645.0,5904.83
411,17645.0,5913.85,5904.83,5755.51,17681.28,5707.02
412,17681.28,5755.51,5707.02,5578.59,17688.24,5520.06
413,17688.24,5578.59,5520.06,5289.82,17683.12,5232.82
414,17683.12,5289.82,5232.82,4958.91,17744.25,4836.57
415,17744.25,4958.91,4836.57,4705.7,17767.49,4557.46
416,17767.49,4705.7,4557.46,4543.18,17691.94,4468.5
417,17691.94,4543.18,4468.5,4449.84,17697.24,4369.46
418,17697.24,4449.84,4369.46,4414.11,17735.5,4295.48
419,17735.5,4414.11,4295.48,4426.28,17671.87,4370.87
420,17671.87,4426.28,4370.87,4645.7,17728.15,4536.18
421,17728.15,4645.7,4536.18,5098.89,17697.16,5025.46
422,17697.16,5098.89,5025.46,5551.57,17745.87,5435.01
423,17745.87,5551.57,5435.01,5574.67,17704.11,5500.56
424,17704.11,5574.67,5500.56,5497.14,17714.03,5412.0
425,17714.03,5497.14,5412.0,5362.31,17701.1,5288.43
426,17701.1,5362.31,5288.43,5296.54,17764.77,5157.39
427,17764.77,5296.54,5157.39,5269.75,17714.25,5180.6
428,17714.25,5269.75,5180.6,5355.56,17774.05,5207.71
429,17774.05,5355.56,5207.71,5476.24,17644.02,5461.16
430,17644.02,5476.24,5461.16,5586.8,17648.39,5569.44
431,17648.39,5586.8,5569.44,5794.67,17748.09,5679.52
432,17748.09,5794.67,5679.52,6031.22,17699.16,5970.25
433,17699.16,6031.22,5970.25,6154.14,17726.79,6067.05
434,17726.79,6154.14,6067.05,6063.86,17707.9,5994.27
435,17707.9,6063.86,5994.27,5965.43,17774.92,5825.66
436,17774.92,5965.43,5825.66,5776.6,17728.83,5680.76
437,17728.83,5776.6,5680.76,5502.93,17655.21,5476.76
438,17655.21,5502.93,5476.76,5172.31,17715.71,5081.21
439,17715.71,5172.31,5081.21,4869.64,17699.19,4791.53
440,17699.19,4869.64,4791.53,4658.69,17716.65,4560.15
441,17716.65,4658.69,4560.15,4512.66,18018.07,4110.98
442,18018.07,4512.66,4110.98,4443.65,18426.21,3629.96
443,18426.21,4443.65,3629.96,4411.61,18470.78,3552.53
444,18470.78,4411.61,3552.53,4552.81,18459.2,3706.75
445,18459.2,4552.81,3706.75,4848.88,18257.58,4208.82
446,18257.58,4848.88,4208.82,5342.16,17875.44,5090.44
447,17875.44,5342.16,5090.44,5684.56,17672.9,5643.68
448,17672.9,5684.56,5643.68,5680.82,17718.49,5594.06
449,17718.49,5680.82,5594.06,5586.45,17731.74,5484.88
450,17731.74,5586.45,5484.88,5567.84,17777.23,5419.8
451,17777.23,5567.84,5419.8,5546.1,17745.26,5430.38
452,17745.26,5546.1,5430.38,5515.38,17685.8,5458.89
453,17685.8,5515.38,5458.89,5602.76,17738.56,5494.04
454,17738.56,5602.76,5494.04,5701.97,17651.88,5682.81
455,17651.88,5701.97,5682.81,5827.23,17699.79,5760.97
456,17699.79,5827.23,5760.97,6134.21,17670.32,6103.56
457,17670.32,6134.21,6103.56,6388.68,17670.59,6362.46
458,17670.59,6388.68,6362.46,6317.69,17713.37,6246.29
459,17713.37,6317.69,6246.29,6255.76,17740.69,6155.2
460,17740.69,6255.76,6155.2,6136.53,17696.82,6079.04
461,17696.82,6136.53,6079.04,5898.9,17738.88,5794.11
462,17738.88,5898.9,5794.11,5594.44,17689.41,5536.03
463,17689.41,5594.44,5536.03,5283.97,17726.87,5182.7
464,17726.87,5283.97,5182.7,5068.13,17726.57,4964.38
465,17726.57,5068.13,4964.38,4868.29,17956.32,4531.7
466,17956.32,4868.29,4531.7,4775.1,18190.97,4200.8
467,18190.97,4775.1,4200.8,4738.14,18324.63,4029.26
468,18324.63,4738.14,4029.26,4754.62,18477.29,3892.26
469,18477.29,4754.62,3892.26,4981.24,18012.54,4588.24
470,18012.54,4981.24,4588.24,5399.57,17853.81,5170.92
471,17853.81,5399.57,5170.92,5779.04,17751.13,5660.5
472,17751.13,5779.04,5660.5,5982.58,17689.66,5929.95
473,17689.66,5982.58,5929.95,6071.54,17703.72,6005.68
474,17703.72,6071.54,6005.68,6200.63,17744.83,6096.23
475,17744.83,6200.63,6096.23,6233.25,17705.9,6168.47
476,17705.9,6233.25,6168.47,6213.66,17693.93,6160.08
477,17693.93,6213.66,6160.08,6223.33,17766.46,6096.83
478,17766.46,6223.33,6096.83,6219.55,17671.77,6189.17
479,17671.77,6219.55,6189.17,6254.71,17674.57,6222.48
480,17674.57,6254.71,6222.48,6375.21,17711.29,6306.79
481,17711.29,6375.21,6306.79,6553.47,17732.95,6466.82
482,17732.95,6553.47,6466.82,6464.71,17716.01,6392.96
483,17716.01,6464.71,6392.96,6372.63,17705.69,6308.92
484,17705.69,6372.63,6308.92,6226.64,17722.15,6145.4
485,17722.15,6226.64,6145.4,6014.73,17739.43,5910.54
486,17739.43,6014.73,5910.54,5746.07,17693.99,5684.41
487,17693.99,5746.07,5684.41,5443.2,17684.37,5387.31
488,17684.37,5443.2,5387.31,5211.78,17746.0,5089.83
489,17746.0,5211.78,5089.83,5058.86,17748.07,4933.19
490,17748.07,5058.86,4933.19,4939.1,17765.3,4795.37
491,17765.3,4939.1,4795.37,4889.63,17830.01,4679.77
492,17830.01,4889.63,4679.77,4877.01,17766.36,4730.74
493,17766.36,4877.01,4730.74,4995.12,17736.77,4880.39
494,17736.77,4995.12,4880.39,5189.86,17690.77,5124.32
495,17690.77,5189.86,5124.32,5446.48,17676.46,5398.03
496,17676.46,5446.48,5398.03,5714.38,17748.78,5597.0
497,17748.78,5714.38,5597.0,5905.76,17686.6,5854.47
498,17686.6,5905.76,5854.47,6001.97,17663.38,5974.6
499,17663.38,6001.97,5974.6,6106.57,17671.74,6074.15
500,17671.74,6106.57,6074.15,6124.32,17691.64,6071.6
501,17691.64,6124.32,6071.6,6071.85,17681.95,6028.01
502,17681.95,6071.85,6028.01,6073.27,17680.7,6030.73
503,17680.7,6073.27,6030.73,6105.45,17710.15,6034.07
504,17710.15,6105.45,6034.07,6295.33,17758.02,6179.43
505,17758.02,6295.33,6179.43,6608.47,17732.95,6521.9
506,17732.95,6608.47,6521.9,6663.89,17734.82,6576.47
507,17734.82,6663.89,6576.47,6630.76,17730.43,6547.03
508,17730.43,6630.76,6547.03,6543.78,17687.58,6501.4
509,17687.58,6543.78,6501.4,6384.73,17719.88,6307.29
510,17719.88,6384.73,6307.29,6208.02,17680.81,6168.54
511,17680.81,6208.02,6168.54,5915.89,17720.82,5829.06
512,17720.82,5915.89,5829.06,5730.08,17739.69,5622.11
513,17739.69,5730.08,5622.11,5566.52,17799.82,5395.67
514,17799.82,5566.52,5395.67,5454.55,17961.03,5118.21
515,17961.03,5454.55,5118.21,5374.76,17992.02,5008.36
516,17992.02,5374.76,5008.36,5344.88,17993.16,4975.29
517,17993.16,5344.88,4975.29,5438.74,17902.62,5161.85
518,17902.62,5438.74,5161.85,5573.78,17763.47,5438.46
519,17763.47,5573.78,5438.46,5770.49,17709.27,5693.91
520,17709.27,5770.49,5693.91,5952.11,17690.21,5897.01
521,17690.21,5952.11,5897.01,6079.96,17747.03,5970.98
522,17747.03,6079.96,5970.98,6131.86,17716.77,6054.39
523,17716.77,6131.86,6054.39,6237.81,17719.89,6158.91
524,17719.89,6237.81,6158.91,6196.64,17637.1,6200.55
525,17637.1,6196.64,6200.55,6191.09,17693.38,6137.52
526,17693.38,6191.09,6137.52,6165.35,17739.17,6065.07
527,17739.17,6165.35,6065.07,6148.83,17681.36,6107.49
528,17681.36,6148.83,6107.49,6270.61,17668.56,6243.67
529,17668.56,6270.61,6243.67,6453.76,17728.27,6368.93
530,17728.27,6453.76,6368.93,6892.93,17694.04,6769.28
531,17694.04,6892.93,6769.28,6952.98,17701.42,6808.35
532,17701.42,6952.98,6808.35,6971.31,17670.64,6819.79
533,17670.64,6971.31,6819.79,6928.52,17679.2,6888.11
534,17679.2,6928.52,6888.11,6794.24,17724.9,6719.63
535,17724.9,6794.24,6719.63,6578.53,17751.94,6472.25
536,17751.94,6578.53,6472.25,6332.56,17673.88,6301.63
537,17673.88,6332.56,6301.63,6011.14,17727.88,5918.76
538,17727.88,6011.14,5918.76,5869.35,17707.49,5795.45
539,17707.49,5869.35,5795.45,5776.86,17673.58,5736.7
540,17673.58,5776.86,5736.7,5668.78,17759.36,5539.9
541,17759.36,5668.78,5539.9,5633.25,17689.23,5575.2
542,17689.23,5633.25,5575.2,5695.35,17703.1,5623.85
543,17703.1,5695.35,5623.85,5881.64,17693.91,5822.08
544,17693.91,5881.64,5822.08,6253.93,17701.57,6192.99
545,17701.57,6253.93,6192.99,6614.82,17754.84,6506.79
546,17754.84,6614.82,6506.79,6764.15,17733.87,6681.39
547,17733.87,6764.15,6681.39,6782.91,17686.92,6728.19
548,17686.92,6782.91,6728.19,6792.04,17700.4,6742.92
549,17700.4,6792.04,6742.92,6716.46,17656.91,6711.49
550,17656.91,6716.46,6711.49,6628.35,17706.5,6571.32
551,17706.5,6628.35,6571.32,6597.82,17722.88,6523.27
552,17722.88,6597.82,6523.27,6557.38,17664.99,6539.93
553,17664.99,6557.38,6539.93,6546.55,17742.83,6449.55
554,17742.83,6546.55,6449.55,6681.98,17687.54,6645.61
555,17687.54,6681.98,6645.61,6979.75,17663.03,6826.88
556,17663.03,6979.75,6826.88,7113.24,17674.93,6870.09
557,17674.93,7113.24,6870.09,7023.52,17791.1,6815.79
558,17791.1,7023.52,6815.79,6875.25,17721.89,6775.63
559,17721.89,6875.25,6775.63,6668.83,17720.67,6595.29
560,17720.67,6668.83,6595.29,6453.2,17728.25,6369.38
561,17728.25,6453.2,6369.38,6162.33,17929.51,5869.6
562,17929.51,6162.33,5869.6,5793.82,18123.66,5299.57
563,18123.66,5793.82,5299.57,5530.72,18174.75,4980.4
564,18174.75,5530.72,4980.4,5336.07,18297.47,4660.45
565,18297.47,5336.07,4660.45,5245.13,18096.76,4769.87
566,18096.76,5245.13,4769.87,5112.53,18009.14,4724.06
567,18009.14,5112.53,4724.06,5136.03,17746.01,5013.0
568,17746.01,5136.03,5013.0,5251.92,17762.21,5114.81
569,17762.21,5251.92,5114.81,5517.48,17656.93,5490.21
570,17656.93,5517.48,5490.21,5837.76,17717.8,5754.69
571,17717.8,5837.76,5754.69,6039.8,17642.73,6035.33
572,17642.73,6039.8,6035.33,6294.39,17717.5,6219.11
573,17717.5,6294.39,6219.11,6363.15,17649.73,6358.3
574,17649.73,6363.15,6358.3,6361.44,17710.94,6293.48
575,17710.94,6361.44,6293.48,6253.51,17727.55,6165.91
576,17727.55,6253.51,6165.91,6135.57,17642.81,6132.41
577,17642.81,6135.57,6132.41,6023.63,17698.84,5961.32
578,17698.84,6023.63,5961.32,6031.88,17722.78,5946.29
579,17722.78,6031.88,5946.29,6145.26,17732.49,6052.28
580,17732.49,6145.26,6052.28,6333.06,17694.56,6281.96
581,17694.56,6333.06,6281.96,6167.35,17792.64,6012.09
582,17792.64,6167.35,6012.09,6048.57,17696.67,5989.56
583,17696.67,6048.57,5989.56,5919.39,17778.94,5775.83
584,17778.94,5919.39,5775.83,5758.31,17694.73,5696.71
585,17694.73,5758.31,5696.71,5579.52,18107.02,5098.57
586,18107.02,5579.52,5098.57,5343.16,18412.69,4551.09
587,18412.69,5343.16,4551.09,5157.03,18468.59,4306.82
588,18468.59,5157.03,4306.82,5055.49,18562.49,4110.74
589,18562.49,5055.49,4110.74,4947.4,18360.21,4204.79
590,18360.21,4947.4,4204.79,4859.52,17910.99,4567.41
591,17910.99,4859.52,4567.41,4861.17,17699.59,4782.52
592,17699.59,4861.17,4782.52,4917.54,17701.68,4836.71
593,17701.68,4917.54,4836.71,5042.01,17689.06,4976.23
594,17689.06,5042.01,4976.23,5207.88,17728.3,5103.41
595,17728.3,5207.88,5103.41,5402.16,17695.07,5334.59
596,17695.07,5402.16,5334.59,5485.54,17758.86,5354.28
597,17758.86,5485.54,5354.28,5540.85,17737.75,5431.81
598,17737.75,5540.85,5431.81,5507.84,17718.05,5418.75
599,17718.05,5507.84,5418.75,5442.98,17726.02,5345.11
600,17726.02,5442.98,5345.11,5412.92,17669.85,5371.52
601,17669.85,5412.92,5371.52,5393.59,17765.07,5254.66
602,17765.07,5393.59,5254.66,5492.02,17729.2,5392.36
603,17729.2,5492.02,5392.36,5698.83,17640.85,5689.8
604,17640.85,5698.83,5689.8,5909.78,17718.73,5825.56
605,17718.73,5909.78,5825.56,5933.02,17672.47,5896.39
606,17672.47,5933.02,5896.39,5907.73,17707.17,5835.65
607,17707.17,5907.73,5835.65,5863.71,17691.61,5806.48
608,17691.61,5863.71,5806.48,5765.54,17703.01,5695.48
609,17703.01,5765.54,5695.48,5662.65,17889.4,5401.73
610,17889.4,5662.65,5401.73,5434.78,18090.78,4966.54
611,18090.78,5434.78,4966.54,5238.9,18303.19,4557.24
612,18303.19,5238.9,4557.24,5110.33,18173.76,4556.43
613,18173.76,5110.33,4556.43,5041.16,18134.82,4526.06
614,18134.82,5041.16,4526.06,5006.61,17973.97,4652.74
615,17973.97,5006.61,4652.74,5057.14,17761.94,4918.23
616,17761.94,5057.14,4918.23,5193.75,17695.58,5122.6
617,17695.58,5193.75,5122.6,5488.41,17714.5,5402.41
618,17714.5,5488.41,5402.41,5841.99,17702.64,5772.81
619,17702.64,5841.99,5772.81,5984.99,17631.85,5990.39
620,17631.85,5984.99,5990.39,6025.13,17710.72,5951.2
621,17710.72,6025.13,5951.2,6000.22,17754.35,5881.7
622,17754.35,6000.22,5881.7,5924.76,17715.04,5844.68
623,17715.04,5924.76,5844.68,5916.47,17736.82,5814.72
624,17736.82,5916.47,5814.72,5826.95,17713.89,5747.33
625,17713.89,5826.95,5747.33,5847.96,17719.3,5764.13
626,17719.3,5847.96,5764.13,6001.02,17671.21,5966.39
627,17671.21,6001.02,5966.39,6184.55,17688.51,6136.42
628,17688.51,6184.55,6136.42,6554.78,17652.84,6548.32
629,17652.84,6554.78,6548.32,6572.72,17667.58,6553.06
630,17667.58,6572.72,6553.06,6506.63,17677.38,6475.67
631,17677.38,6506.63,6475.67,6406.09,17735.71,6314.41
632,17735.71,6406.09,6314.41,6202.02,17696.41,6145.46
633,17696.41,6202.02,6145.46,5959.47,17860.08,5734.15
634,17860.08,5959.47,5734.15,5647.64,18074.58,5199.0
635,18074.58,5647.64,5199.0,5421.46,18292.01,4752.71
636,18292.01,5421.46,4752.71,5290.85,18118.17,4795.03
637,18118.17,5290.85,4795.03,5218.05,18016.36,4823.19
638,18016.36,5218.05,4823.19,5154.31,17776.45,5002.19
639,17776.45,5154.31,5002.19,5178.36,17693.32,5109.42
640,17693.32,5178.36,5109.42,5330.39,17738.94,5217.2
641,17738.94,5330.39,5217.2,5454.08,17721.76,5359.76
642,17721.76,5454.08,5359.76,5802.23,17696.38,5738.45
643,17696.38,5802.23,5738.45,5996.01,17648.37,5984.59
644,17648.37,5996.01,5984.59,5992.12,17712.74,5914.99
645,17712.74,5992.12,5914.99,5893.23,17726.19,5801.71
646,17726.19,5893.23,5801.71,5843.62,17751.33,5726.04
647,17751.33,5843.62,5726.04,5793.59,17733.06,5693.98
648,17733.06,5793.59,5693.98,5680.92,17671.88,5641.33
649,17671.88,5680.92,5641.33,5728.05,17689.06,5672.36
650,17689.06,5728.05,5672.36,5799.66,17700.08,5732.66
651,17700.08,5799.66,5732.66,5939.85,17681.99,5893.83
652,17681.99,5939.85,5893.83,6252.43,17697.19,6196.46
653,17697.19,6252.43,6196.46,6416.75,17725.01,6335.67
654,17725.01,6416.75,6335.67,6293.55,17696.05,6239.29
655,17696.05,6293.55,6239.29,6145.87,17662.0,6122.95
656,17662.0,6145.87,6122.95,6015.7,17723.24,5929.05
657,17723.24,6015.7,5929.05,5776.47,17706.16,5702.61
658,17706.16,5776.47,5702.61,5493.24,17709.65,5412.0
659,17709.65,5493.24,5412.0,5230.21,17781.18,5072.51
660,17781.18,5230.21,5072.51,4975.85,17746.01,4852.4
661,17746.01,4975.85,4852.4,4863.23,17794.95,4688.7
662,17794.95,4863.23,4688.7,4741.08,17738.72,4621.78
663,17738.72,4741.08,4621.78,4708.02,17715.47,4612.57
664,17715.47,4708.02,4612.57,4689.66,17744.57,4564.14
665,17744.57,4689.66,4564.14,4787.9,17738.28,4669.68
666,17738.28,4787.9,4669.68,4941.85,17650.86,4912.6
667,17650.86,4941.85,4912.6,5154.2,17680.99,5097.32
668,17680.99,5154.2,5097.32,5272.14,17769.01,5128.32
669,17769.01,5272.14,5128.32,5412.59,17753.3,5285.98
670,17753.3,5412.59,5285.98,5485.46,17748.12,5365.72
671,17748.12,5485.46,5365.72,5419.26,17637.23,5410.01
672,17637.23,5419.26,5410.01,5404.13,17732.31,5298.6
673,17732.31,5404.13,5298.6,5390.94,17656.05,5363.05
674,17656.05,5390.94,5363.05,5319.74,17689.92,5256.34
675,17689.92,5319.74,5256.34,5414.71,17718.02,5324.4
676,17718.02,5414.71,5324.4,5582.56,17687.28,5524.98
677,17687.28,5582.56,5524.98,5794.43,17740.57,5686.11
678,17740.57,5794.43,5686.11,5741.42,17765.35,5608.13
679,17765.35,5741.42,5608.13,5629.19,17686.69,5573.51
680,17686.69,5629.19,5573.51,5548.18,17735.49,5442.63
681,17735.49,5548.18,5442.63,5385.98,17687.37,5326.03
682,17687.37,5385.98,5326.03,5158.98,17838.79,4943.26
683,17838.79,5158.98,4943.26,4890.62,17808.98,4702.77
684,17808.98,4890.62,4702.77,4734.05,17761.23,4591.8
685,17761.23,4734.05,4591.8,4552.82,17739.16,4431.54
686,17739.16,4552.82,4431.54,4437.76,17717.45,4336.86
687,17717.45,4437.76,4336.86,4376.3,17660.28,4332.34
688,17660.28,4376.3,4332.34,4373.54,17725.59,4264.81
689,17725.59,4373.54,4264.81,4420.52,17696.8,4340.2
690,17696.8,4420.52,4340.2,4516.65,17724.92,4409.33
691,17724.92,4516.65,4409.33,4675.2,17695.26,4598.94
692,17695.26,4675.2,4598.94,4811.08,17752.35,4678.98
693,17752.35,4811.08,4678.98,4968.38,17715.44,4875.28
694,17715.44,4968.38,4875.28,5100.56,17680.64,5043.19
695,17680.64,5100.56,5043.19,5136.78,17656.63,5104.22
696,17656.63,5136.78,5104.22,5087.4,17692.88,5018.49
697,17692.88,5087.4,5018.49,5109.01,17637.8,5095.38
698,17637.8,5109.01,5095.38,5110.08,17719.44,5013.98
699,17719.44,5110.08,5013.98,5165.19,17730.27,5059.21
700,17730.27,5165.19,5059.21,5341.72,17711.68,5257.15
701,17711.68,5341.72,5257.15,5630.31,17673.65,5587.7
702,17673.65,5630.31,5587.7,5541.35,17703.86,5466.84
703,17703.86,5541.35,5466.84,5432.52,17680.05,5380.01
704,17680.05,5432.52,5380.01,5321.01,17677.39,5270.04
705,17677.39,5321.01,5270.04,5159.22,17817.95,4965.2
706,17817.95,5159.22,4965.2,4878.11,18001.73,4495.03
707,18001.73,4878.11,4495.03,4614.77,18163.38,4066.5
708,18163.38,4614.77,4066.5,4370.28,18147.54,3835.75
709,18147.54,4370.28,3835.75,4281.09,17934.68,3960.46
710,17934.68,4281.09,3960.46,4183.67,17872.54,3924.07
711,17872.54,4183.67,3924.07,4118.27,17689.28,4043.26
712,17689.28,4118.27,4043.26,4132.69,17743.09,4003.31
713,17743.09,4132.69,4003.31,4273.19,17700.36,4188.58
714,17700.36,4273.19,4188.58,4557.11,17747.59,4427.87
715,17747.59,4557.11,4427.87,4883.04,17753.91,4750.08
716,17753.91,4883.04,4750.08,5071.45,17662.28,5032.57
717,17662.28,5071.45,5032.57,5131.78,17732.91,5022.91
718,17732.91,5131.78,5022.91,5171.32,17729.32,5065.81
719,17729.32,5171.32,5065.81,5095.79,17673.96,5045.3
720,17673.96,5095.79,5045.3,5096.37,17736.45,4983.7
721,17736.45,5096.37,4983.7,5084.89,17664.14,5044.68
722,17664.14,5084.89,5044.68,5206.04,17726.31,5104.01
723,17726.31,5206.04,5104.01,5349.24,17767.18,5208.01
724,17767.18,5349.24,5208.01,5600.22,17670.54,5560.09
725,17670.54,5600.22,5560.09,5891.94,17700.07,5826.14
726,17700.07,5891.94,5826.14,5881.73,17757.23,5758.75
727,17757.23,5881.73,5758.75,5777.95,17737.3,5672.5
728,17737.3,5777.95,5672.5,5617.73,17791.75,5455.18
729,17791.75,5617.73,5455.18,5391.85,17872.54,5144.15
730,17872.54,5391.85,5144.15,5137.95,18367.39,4389.55
731,18367.39,5137.95,4389.55,4884.09,18493.54,4006.04
732,18493.54,4884.09,4006.04,4676.83,18539.69,3750.47
733,18539.69,4676.83,3750.47,4448.08,18100.95,3962.71
734,18100.95,4448.08,3962.71,4360.79,17925.75,4050.11
735,17925.75,4360.79,4050.11,4310.78,17703.61,4223.07
736,17703.61,4310.78,4223.07,4345.68,17715.17,4246.97
737,17715.17,4345.68,4246.97,4469.5,17709.37,4377.28
738,17709.37,4469.5,4377.28,4754.23,17722.77,4651.26
739,17722.77,4754.23,4651.26,5081.64,17672.89,5031.85
740,17672.89,5081.64,5031.85,5248.0,17747.25,5125.99
741,17747.25,5248.0,5125.99,5113.96,17746.65,4990.53
742,17746.65,5113.96,4990.53,4886.42,17662.61,4845.78
743,17662.61,4886.42,4845.78,4925.31,17710.45,4837.27
